MC,KC,NC,mean_ms,min_ms,GFLOPs
128,512,48,11.421200,11.064000,440.686
128,512,96,11.508800,11.148000,437.332
128,512,144,11.260400,11.076000,446.979
128,512,192,11.334600,11.040000,444.053
128,512,960,11.546200,11.204000,435.915
128,768,48,11.430600,10.952000,440.324
128,768,96,11.133800,10.995000,452.062
128,768,144,11.165800,10.971000,450.766
128,768,192,11.046000,10.962000,455.655
128,768,960,11.308400,11.025000,445.082
128,1024,48,11.467600,11.324000,438.903
128,1024,96,11.795800,11.425000,426.691
128,1024,144,17.208600,11.290000,292.480
128,1024,192,12.751400,11.239000,394.715
128,1024,960,11.490400,11.406000,438.032
128,1280,48,14.381800,11.038000,349.968
